,compound,neg,neu,pos,text,date,User,tweets ago
467,0.0,0.0,1.0,0.0,"This fungus can respond to wind and touch, grow toward light and detect and navigate around objects placed above it… https://t.co/UvcVZWzYEV",Sat Apr 28 04:21:02 +0000 2018,@nytimes,68
468,0.8979,0.0,0.623,0.377,"A film about 2 girls in love, the first Kenyan film ever nominated for an award at Cannes Film Festival, is banned… https://t.co/hw7HeR7ntH",Sat Apr 28 04:02:03 +0000 2018,@nytimes,69
469,-0.8689,0.353,0.647,0.0,"RT @nytimesbusiness: Describing himself as ""angry, hurt and unmoored,"" Tom Brokaw denied an allegation that he harassed a former NBC News c…",Sat Apr 28 03:47:03 +0000 2018,@nytimes,70
470,0.4215,0.0,0.763,0.237,"""Have you met James? James saved a lot of lives."" https://t.co/llXGAsenX6",Sat Apr 28 03:32:01 +0000 2018,@nytimes,71
471,0.6697,0.0,0.82,0.18,RT @jakesNYT: Is Mr. Kim is really ready to make a deal? Or is he is betting - as most experts think - he can get help to normalize DPRK’s…,Sat Apr 28 03:17:03 +0000 2018,@nytimes,72
472,-0.4215,0.257,0.743,0.0,"Stormy Daniels lawsuit delayed as judge cites ""likely"" indictment of Michael Cohen https://t.co/vJShJ6Tf2Y",Sat Apr 28 03:02:05 +0000 2018,@nytimes,73
473,0.6705,0.0,0.8,0.2,"Abba: “We all felt that, after some 35 years, it could be fun to join forces again and go into the recording studio"" https://t.co/GMZD2K8oQ6",Sat Apr 28 02:47:06 +0000 2018,@nytimes,74
474,0.0,0.0,1.0,0.0,"""I am a lawyer, and I am an informant,"" said Natalia Veselnitskaya, the Russian lawyer who met with Trump campaign… https://t.co/3gLNX4jjcw",Sat Apr 28 02:32:07 +0000 2018,@nytimes,75
475,-0.7783,0.264,0.736,0.0,"RT @NYTNational: Brittany Oswell suffered a pulmonary embolism on an American Airlines flight from Hawaii. She later died, and her family h…",Sat Apr 28 02:17:02 +0000 2018,@nytimes,76
476,0.0,0.0,1.0,0.0,Speaker Paul Ryan’s decision to dismiss the House chaplain has caused a firestorm on Capitol Hill https://t.co/XNEZDvfWed,Sat Apr 28 02:02:03 +0000 2018,@nytimes,77
477,0.0,0.0,1.0,0.0,"5 takeaways from the House report on Russian election meddling
https://t.co/z5TKigmkAS",Sat Apr 28 01:47:05 +0000 2018,@nytimes,78
478,-0.5423,0.178,0.747,0.075,Should genealogy databases be used to solve crimes? The Golden State Killer case has set off a debate over privacy… https://t.co/nGQFL8EJBs,Sat Apr 28 01:32:07 +0000 2018,@nytimes,79
479,-0.8074,0.356,0.644,0.0,"RT @bankonjustin: For decades, the chilling Golden State Killer attacks hung over California communities. 

@MitchKSmith and I took a look…",Sat Apr 28 01:17:04 +0000 2018,@nytimes,80
480,0.0,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/ztidViKti8,Sat Apr 28 01:02:07 +0000 2018,@nytimes,81
481,0.5574,0.0,0.82,0.18,"""The 'Mona Lisa' has, to all meaningful intents and purposes, ceased to exist as an original work of art. It has be… https://t.co/q59O4gyp57",Sat Apr 28 00:47:05 +0000 2018,@nytimes,82
482,0.2732,0.087,0.731,0.183,A federal judge dismissed a lawsuit filed by Paul Manafort that tried to narrow the authority of the special counsel https://t.co/JKoCFjD1wl,Sat Apr 28 00:32:04 +0000 2018,@nytimes,83
483,0.25,0.0,0.929,0.071,RT @nytopinion: It’s even less likely that North Korea will give up its arsenal now that it sees Trump poised to tear up the Iran nuclear d…,Sat Apr 28 00:17:03 +0000 2018,@nytimes,84
484,0.3818,0.0,0.894,0.106,“It’s clear that we’re going to have to remove carbon dioxide from the atmosphere. And we’re going to have to do it… https://t.co/EaSgEUkIWb,Sat Apr 28 00:02:01 +0000 2018,@nytimes,85
485,0.0,0.0,1.0,0.0,Follow our live updates from the second night of the NFL draft https://t.co/BXyQCQfQxw,Fri Apr 27 23:47:04 +0000 2018,@nytimes,86
486,-0.8126,0.451,0.549,0.0,The Golden State Killer investigation relied on a fake DNA profile https://t.co/tloTpJS34Y,Fri Apr 27 23:32:04 +0000 2018,@nytimes,87
487,0.0,0.0,1.0,0.0,"RT @PamelaPaulNYT: Whiz! Bam! Boom! The New York Times Book Review debuts Graphic Content, our new column on graphic novels and comics: htt…",Fri Apr 27 23:17:04 +0000 2018,@nytimes,88
488,-0.3182,0.138,0.788,0.074,An EPA proposal to dramatically weaken car-emission standards could set up a legal clash with California. Here are… https://t.co/btSxayZncO,Fri Apr 27 23:02:04 +0000 2018,@nytimes,89
489,0.0,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/hLZPorp8G9,Fri Apr 27 22:47:03 +0000 2018,@nytimes,90
490,-0.4404,0.132,0.868,0.0,"The $375,000 salary for the new CDC director has come under criticism from Senate Democrats and watchdog groups. He… https://t.co/qFY0OAr623",Fri Apr 27 22:32:06 +0000 2018,@nytimes,91
491,-0.4215,0.229,0.638,0.133,What it felt like to follow the news of the Golden State Killer https://t.co/6yJRuq5r3Q,Fri Apr 27 22:17:06 +0000 2018,@nytimes,92
492,-0.3612,0.143,0.857,0.0,"""How do I cleave Bill Cosby from the man he seduced me into becoming?"" @wesley_morris asks https://t.co/5IODvhVrOB",Fri Apr 27 22:05:04 +0000 2018,@nytimes,93
493,0.0772,0.0,0.936,0.064,RT @NYTMetro: A viral video of a foul-mouthed ex-Port Authority commissioner has had a unifying effect: Her former peers at the agency have…,Fri Apr 27 21:40:07 +0000 2018,@nytimes,94
494,0.6767,0.0,0.74,0.26,Where is the royal wedding? Who is Harry's best man? Your questions answered: https://t.co/76VWjXjChw,Fri Apr 27 21:25:04 +0000 2018,@nytimes,95
495,0.0,0.0,1.0,0.0,"Mississippi, the home to Faulkner, Welty, Ford and Ward, will soon be marking a literary trail for tourists https://t.co/IgCK0GFjfZ",Fri Apr 27 21:10:03 +0000 2018,@nytimes,96
496,0.0,0.0,1.0,0.0,An official came across boxes that had been sitting around for decades. Inside were thousands of photos made in par… https://t.co/w3lADI0Gmi,Fri Apr 27 20:55:09 +0000 2018,@nytimes,97
497,-0.7184,0.25,0.75,0.0,"In the Hart household, any act of insubordination could be severely punished. The children knew this all too well,… https://t.co/ya8Dy8G2aO",Fri Apr 27 20:40:06 +0000 2018,@nytimes,98
498,0.4588,0.083,0.758,0.159,"RT @TheSteinLine: Going inside New Orleans' love affair with @RajonRondo ... and his insistence that ""I'm Rondo"" and ""there's no such thing…",Fri Apr 27 20:25:01 +0000 2018,@nytimes,99
499,0.0,0.0,1.0,0.0,The New York Times had a spotty record of covering the AIDS epidemic in the early 1980s — and gay culture in general https://t.co/pSkTmJ85NI,Fri Apr 27 20:10:03 +0000 2018,@nytimes,100
